,Source,Destination,Class
153,124,178,1
154,174,179,1
155,122,180,1
156,181,182,1
157,5,150,1
158,10,183,1
159,184,87,1
160,24,185,1
161,184,186,1
162,38,187,1
163,110,188,1
164,8,189,1
165,132,190,1
166,191,192,1
167,10,193,1
168,33,9,1
169,67,194,1
170,60,195,1
171,196,197,1
172,198,199,1
173,137,200,1
174,31,145,1
175,201,202,1
176,145,82,1
177,203,204,1
178,10,161,1
179,205,135,1
180,44,206,1
181,143,207,1
182,56,102,1
183,38,208,1
184,113,209,1
185,210,6,1
186,110,211,1
187,29,55,1
188,33,212,1
189,213,9,1
190,151,214,1
191,215,216,1
192,217,218,1
193,31,219,1
194,56,220,1
195,175,221,1
196,174,222,1
197,201,223,1
198,224,225,1
199,51,226,1
200,48,79,1
201,24,107,1
202,10,209,1
203,227,228,1
204,38,229,1
205,230,218,1
206,203,231,1
207,232,233,1
208,90,234,1
209,235,236,1
210,10,237,1
211,134,26,1
212,91,238,1
213,239,240,1
214,10,241,1
215,136,242,1
216,73,167,1
217,243,244,1
218,127,245,1
219,246,85,1
220,90,247,1
221,48,62,1
222,95,17,1
223,248,249,1
224,24,250,1
225,29,99,1
226,10,251,1
227,75,252,1
228,90,253,1
229,48,102,1
230,56,62,1
231,254,255,1
232,254,74,1
233,53,256,1
234,155,257,1
235,56,157,1
236,258,94,1
237,132,259,1
238,95,260,1
239,29,261,1
240,262,263,1
241,50,223,1
242,264,36,1
243,33,265,1
244,243,94,1
245,10,266,1
246,267,87,1
247,103,268,1
248,269,147,1
249,270,215,1
250,51,271,1
251,48,219,1
252,48,157,1
253,14,180,1
254,272,224,1
255,273,274,1
256,38,275,1
257,134,149,1
258,125,163,1
259,68,122,1
260,20,22,1
261,232,276,1
262,50,260,1
263,90,277,1
264,205,192,1
265,254,267,1
266,38,252,1
267,78,118,1
268,278,279,1
269,155,280,1
270,281,282,1
271,73,283,1
272,284,223,1
273,10,285,1
274,51,286,1
275,52,287,1
276,191,288,1
277,29,209,1
278,289,290,1
279,291,292,1
280,254,293,1
281,294,295,1
282,296,227,1
283,5,286,1
284,29,297,1
285,8,298,1
286,5,299,1
287,27,157,1
288,38,300,1
289,175,301,1
290,145,43,1
291,302,85,1
292,303,37,1
293,304,305,1
294,40,306,1
295,256,83,1
296,232,307,1
297,95,9,1
298,210,171,1
299,308,309,1
300,80,55,1
301,310,309,1
302,31,82,1
303,57,311,1
304,312,50,1
305,269,233,1
306,10,313,1
307,314,315,1
308,198,316,1
309,317,318,1
310,10,149,1
311,319,320,1
312,294,107,1
313,321,322,1
314,33,323,1
315,321,324,1
316,325,326,1
317,73,265,1
318,327,96,1
319,145,56,1
320,224,328,1
321,27,329,1
322,330,218,1
323,201,17,1
324,50,17,1
325,198,182,1
326,224,331,1
327,38,49,1
328,24,199,1
329,332,333,1
330,132,334,1
331,335,336,1
332,337,338,1
333,339,340,1
334,341,342,1
335,10,343,1
336,344,197,1
337,172,345,1
338,346,41,1
339,127,347,1
340,170,348,1
341,27,349,1
342,56,219,1
343,350,351,1
344,352,353,1
345,27,56,1
346,67,316,1
347,95,189,1
348,110,354,1
349,355,356,1
350,80,149,1
351,339,357,1
352,232,358,1
353,203,96,1
354,359,268,1
355,90,360,1
356,137,361,1
357,174,362,1
358,363,364,1
359,80,365,1
360,92,366,1
361,367,153,1
362,198,342,1
363,90,368,1
364,53,369,1
365,10,370,1
366,294,371,1
367,372,215,1
368,304,373,1
369,374,218,1
370,14,375,1
371,184,376,1
372,377,97,1
373,27,39,1
374,378,153,1
375,290,364,1
376,379,380,1
377,127,283,1
378,52,299,1
379,381,382,1
380,73,245,1
381,48,82,1
382,383,384,1
383,378,385,1
384,342,197,1
385,95,204,1
386,3,386,1
387,29,109,1
388,10,187,1
389,75,387,1
390,38,388,1
391,29,115,1
392,57,389,1
393,319,267,1
394,314,390,1
395,95,225,1
396,113,391,1
397,205,356,1
398,56,349,1
399,392,319,1
400,339,393,1
401,10,114,1
402,269,358,1
403,16,394,1
404,139,122,1
405,395,56,1
406,31,329,1
407,38,396,1
408,80,99,1
409,201,397,1
410,398,399,1
411,71,400,1
412,342,353,1
413,127,93,1
414,401,85,1
415,122,375,1
416,10,297,1
417,80,42,1
418,402,403,1
419,92,404,1
420,352,405,1
421,239,406,1
422,127,407,1
423,10,408,1
424,330,217,1
425,409,410,1
426,411,412,1
427,56,413,1
428,31,349,1
429,224,414,1
430,346,415,1
431,46,416,1
432,162,417,1
433,262,418,1
434,8,356,1
435,132,419,1
436,104,420,1
437,10,421,1
438,314,422,1
439,175,423,1
440,196,353,1
441,5,424,1
442,38,425,1
443,110,49,1
444,113,426,1
445,427,220,1
446,181,428,1
447,5,226,1
448,429,374,1
449,101,147,1
450,175,430,1
451,203,431,1
452,71,316,1
453,284,432,1
454,38,433,1
455,38,434,1
456,92,435,1
457,52,436,1
458,52,271,1
459,51,287,1
460,38,437,1
461,29,438,1
462,50,439,1
463,440,94,1
464,134,209,1
465,344,267,1
466,5,441,1
467,198,197,1
468,442,443,1
469,143,444,1
470,312,135,1
471,103,445,1
472,124,218,1
473,132,446,1
474,447,448,1
475,449,450,1
476,29,451,1
477,232,452,1
478,12,453,1
479,290,339,1
480,454,455,1
481,50,356,1
482,264,456,1
483,10,141,1
484,457,362,1
485,51,458,1
486,33,459,1
487,205,293,1
488,355,130,1
489,256,53,1
490,10,460,1
491,461,321,1
492,462,218,1
493,463,260,1
494,5,464,1
495,5,465,1
496,27,79,1
497,38,466,1
498,467,199,1
499,129,468,1
500,210,52,1
501,33,441,1
502,469,66,1
503,470,471,1
504,212,472,1
505,473,190,1
506,474,475,1
507,129,105,1
508,269,276,1
509,344,353,1
510,168,476,1
511,73,165,1
512,477,433,1
513,38,478,1
514,312,356,1
515,269,479,1
516,270,480,1
517,429,318,1
518,442,441,1
519,34,218,1
520,127,481,1
521,78,311,1
522,191,482,1
523,95,483,1
524,80,26,1
525,321,484,1
526,1,485,1
527,52,464,1
528,284,439,1
529,159,58,1
530,95,486,1
531,487,488,1
532,308,489,1
533,314,490,1
534,198,491,1
535,3,76,1
536,474,85,1
537,80,285,1
538,134,261,1
539,463,267,1
540,80,161,1
541,294,492,1
542,1,20,1
543,196,405,1
544,125,94,1
545,33,293,1
546,469,493,1
547,350,494,1
548,174,396,1
549,495,9,1
550,269,496,1
551,497,163,1
552,374,448,1
553,198,498,1
554,95,499,1
555,500,366,1
556,127,501,1
557,80,53,1
558,125,417,1
559,50,502,1
560,346,92,1
561,308,356,1
562,503,49,1
563,272,504,1
564,461,353,1
565,505,506,1
566,71,507,1
567,284,508,1
568,95,202,1
569,267,376,1
570,232,509,1
571,510,511,1
572,5,512,1
573,335,513,1
574,48,514,1
575,67,515,1
576,95,62,1
577,29,237,1
578,80,209,1
579,77,476,1
580,516,517,1
581,119,518,1
582,172,519,1
583,155,520,1
584,56,48,1
585,500,521,1
586,101,135,1
587,103,522,1
588,523,470,1
589,314,524,1
590,16,400,1
591,525,526,1
592,442,527,1
593,235,528,1
594,110,163,1
595,124,529,1
596,303,530,1
597,359,178,1
598,220,66,1
599,5,531,1
600,50,532,1
601,86,376,1
602,198,107,1
603,533,534,1
604,284,247,1
605,535,536,1
606,33,194,1
607,278,526,1
608,80,313,1
609,77,537,1
610,538,539,1
611,52,226,1
612,51,540,1
613,168,107,1
614,71,541,1
615,137,268,1
616,442,542,1
617,191,543,1
618,38,544,1
619,35,66,1
620,510,67,1
621,296,339,1
622,220,470,1
623,545,546,1
624,27,514,1
625,477,547,1
626,145,31,1
627,243,440,1
628,548,549,1
629,201,550,1
630,50,551,1
631,533,540,1
632,552,122,1
633,67,122,1
634,553,554,1
635,312,555,1
636,151,348,1
637,29,313,1
638,201,231,1
639,556,217,1
640,198,250,1
641,174,434,1
642,443,557,1
643,290,558,1
644,224,504,1
645,289,339,1
646,215,559,1
647,181,400,1
648,213,96,1
649,90,432,1
650,159,560,1
651,561,562,1
652,344,563,1
653,50,564,1
654,33,165,1
655,73,565,1
656,500,566,1
657,110,567,1
658,162,525,1
659,50,190,1
660,48,329,1
661,363,568,1
662,46,153,1
663,122,68,1
664,110,295,1
665,44,569,1
666,269,570,1
667,201,571,1
668,119,572,1
669,573,574,1
670,52,286,1
671,75,575,1
672,442,576,1
673,577,197,1
674,67,510,1
675,503,218,1
676,578,579,1
677,254,125,1
678,269,208,1
679,1,110,1
680,374,580,1
681,447,374,1
682,198,581,1
683,137,17,1
684,470,523,1
685,476,473,1
686,582,583,1
687,584,585,1
688,110,371,1
689,463,586,1
690,246,587,1
691,124,130,1
692,10,588,1
693,80,589,1
694,134,590,1
695,134,591,1
696,294,400,1
697,592,304,1
698,461,563,1
699,352,593,1
700,594,58,1
701,67,595,1
702,95,118,1
703,212,596,1
704,38,597,1
705,598,353,1
706,10,599,1
707,80,408,1
708,129,600,1
709,129,560,1
710,332,601,1
711,5,480,1
712,51,602,1
713,63,603,1
714,90,499,1
715,46,604,1
716,473,334,1
717,110,437,1
718,355,605,1
719,119,606,1
720,184,607,1
721,608,346,1
722,584,609,1
723,610,611,1
724,38,131,1
725,553,612,1
726,103,540,1
727,613,311,1
728,614,615,1
729,20,166,1
730,73,459,1
731,318,409,1
732,53,616,1
733,95,617,1
734,38,166,1
735,427,618,1
736,218,619,1
737,440,620,1
738,201,621,1
739,538,622,1
740,374,217,1
741,90,96,1
742,48,349,1
743,623,624,1
744,67,541,1
745,38,23,1
746,427,14,1
747,440,93,1
748,614,582,1
749,625,573,1
750,50,626,1
751,278,627,1
752,71,628,1
753,205,629,1
754,205,630,1
755,31,514,1
756,3,432,1
757,124,631,1
758,294,632,1
759,129,633,1
760,8,634,1
761,635,309,1
762,352,636,1
763,395,342,1
764,398,637,1
765,71,638,1
766,408,490,1
767,145,157,1
768,24,639,1
769,294,640,1
770,269,641,1
771,201,642,1
772,5,643,1
773,330,557,1
774,86,644,1
775,213,334,1
776,137,645,1
777,473,646,1
778,218,647,1
779,553,153,1
780,29,648,1
781,29,649,1
782,184,650,1
783,651,652,1
784,325,653,1
785,51,400,1
786,278,654,1
787,205,655,1
788,317,528,1
789,29,37,1
790,73,528,1
791,350,656,1
792,584,657,1
793,56,658,1
794,659,660,1
795,38,661,1
796,65,647,1
797,339,290,1
798,80,662,1
799,232,570,1
800,510,663,1
801,184,664,1
802,497,512,1
803,51,665,1
804,198,353,1
805,477,666,1
806,110,667,1
807,578,668,1
808,80,669,1
809,332,670,1
810,16,220,1
811,75,671,1
812,447,218,1
813,552,642,1
814,97,672,1
815,103,673,1
816,124,674,1
817,18,352,1
818,181,675,1
819,429,448,1
820,33,676,1
821,73,677,1
822,137,9,1
823,205,678,1
824,623,679,1
825,53,680,1
826,235,681,1
827,38,682,1
828,230,619,1
829,162,683,1
830,175,92,1
831,181,684,1
832,591,685,1
833,147,686,1
834,174,687,1
835,284,502,1
836,95,223,1
837,246,500,1
838,355,688,1
839,124,689,1
840,29,690,1
841,77,58,1
842,691,692,1
843,181,693,1
844,651,147,1
845,635,586,1
846,383,694,1
847,20,695,1
848,147,630,1
849,48,413,1
850,696,697,1
851,363,698,1
852,577,353,1
853,53,699,1
854,191,700,1
855,145,219,1
856,212,701,1
857,246,702,1
858,134,161,1
859,294,703,1
860,92,91,1
861,119,704,1
862,5,705,1
863,497,706,1
864,707,27,1
865,78,499,1
866,174,708,1
867,284,17,1
868,67,709,1
869,95,397,1
870,710,711,1
871,712,713,1
872,38,714,1
873,10,177,1
874,80,141,1
875,314,383,1
876,258,715,1
877,321,716,1
878,538,717,1
879,497,718,1
880,148,153,1
881,335,719,1
882,205,720,1
883,721,722,1
884,552,204,1
885,145,79,1
886,44,723,1
887,124,724,1
888,175,725,1
889,726,25,1
890,125,440,1
891,497,194,1
892,172,727,1
893,75,58,1
894,533,486,1
895,205,728,1
896,411,729,1
897,730,731,1
898,732,733,1
899,235,526,1
900,67,511,1
901,212,734,1
902,97,569,1
903,463,735,1
904,44,672,1
905,339,736,1
906,80,183,1
907,134,109,1
908,291,737,1
909,196,738,1
910,184,739,1
911,635,740,1
912,50,653,1
913,608,741,1
914,533,742,1
915,56,39,1
916,487,743,1
917,110,512,1
918,84,96,1
919,215,744,1
920,194,745,1
921,303,746,1
922,303,23,1
923,747,629,1
924,5,1,1
925,330,619,1
926,78,76,1
927,198,693,1
928,362,502,1
929,473,476,1
930,129,676,1
931,57,49,1
932,194,643,1
933,67,748,1
934,342,636,1
935,503,448,1
936,463,663,1
937,215,749,1
938,573,268,1
939,325,750,1
940,78,512,1
941,198,751,1
942,137,539,1
943,212,674,1
944,110,752,1
945,598,525,1
946,463,546,1
947,124,422,1
948,16,753,1
949,747,557,1
950,94,647,1
951,51,754,1
952,90,755,1
953,137,360,1
954,310,316,1
955,69,697,1
956,568,756,1
957,14,757,1
958,113,758,1
959,312,759,1
960,103,760,1
961,317,311,1
962,124,217,1
963,80,421,1
964,196,761,1
965,762,647,1
966,172,9,1
967,51,299,1
968,73,763,1
969,63,642,1
970,449,223,1
971,764,667,1
972,145,765,1
973,712,766,1
974,440,697,1
975,767,448,1
976,162,643,1
977,65,768,1
978,201,96,1
979,510,769,1
980,75,770,1
981,771,622,1
982,205,700,1
983,38,772,1
984,38,773,1
985,774,618,1
986,355,105,1
987,262,775,1
988,124,527,1
989,294,776,1
990,232,269,1
991,201,76,1
992,203,499,1
993,461,197,1
994,450,777,1
995,556,318,1
996,442,778,1
997,442,541,1
998,145,603,1
999,779,780,1
1000,34,781,1
1001,14,122,1
1002,127,782,1
1003,65,783,1
1004,57,784,1
1005,457,652,1
1006,203,135,1
1007,538,223,1
1008,181,629,1
1009,398,168,1
1010,27,48,1
1011,50,778,1
1012,771,785,1
1013,90,786,1
1014,31,787,1
1015,95,788,1
1016,110,789,1
1017,230,790,1
1018,269,791,1
1019,402,792,1
1020,181,793,1
1021,383,524,1
1022,50,794,1
1023,71,709,1
1024,235,717,1
1025,67,793,1
1026,95,231,1
1027,319,160,1
1028,463,740,1
1029,440,795,1
1030,134,408,1
1031,523,796,1
1032,88,583,1
1033,194,713,1
1034,303,353,1
1035,372,797,1
1036,50,720,1
1037,168,751,1
1038,73,52,1
1039,696,798,1
1040,56,27,1
1041,95,799,1
1042,101,800,1
1043,801,802,1
1044,10,353,1
1045,803,733,1
1046,269,307,1
1047,269,452,1
1048,269,804,1
1049,16,805,1
1050,203,512,1
1051,372,806,1
1052,807,808,1
1053,374,631,1
1054,51,693,1
1055,174,809,1
1056,284,810,1
1057,378,70,1
1058,46,811,1
1059,38,812,1
1060,14,72,1
1061,254,265,1
1062,262,813,1
1063,294,684,1
1064,523,814,1
1065,303,735,1
1066,51,436,1
1067,815,816,1
1068,817,818,1
1069,503,631,1
1070,254,130,1
1071,803,819,1
1072,269,820,1
1073,402,733,1
1074,377,821,1
1075,822,823,1
1076,90,76,1
1077,696,824,1
1078,284,489,1
1079,284,397,1
1080,442,400,1
1081,155,245,1
1082,342,825,1
1083,342,826,1
1084,98,572,1
1085,110,827,1
1086,110,828,1
1087,392,220,1
1088,829,470,1
1089,162,830,1
1090,29,831,1
1091,134,313,1
1092,523,647,1
1093,175,832,1
1094,181,316,1
1095,461,833,1
1096,497,353,1
1097,78,64,1
1098,198,793,1
1099,533,834,1
1100,235,165,1
1101,95,835,1
1102,95,836,1
1103,267,247,1
1104,212,837,1
1105,38,838,1
1106,355,165,1
1107,10,831,1
1108,1,163,1
1109,184,839,1
1110,71,840,1
1111,73,130,1
1112,205,14,1
1113,53,841,1
1114,14,540,1
1115,24,119,1
1116,24,491,1
1117,246,842,1
1118,355,653,1
1119,44,123,1
1120,10,197,1
1121,80,843,1
1122,134,844,1
1123,194,830,1
1124,18,92,1
1125,461,845,1
1126,40,846,1
1127,447,847,1
1128,848,157,1
1129,698,568,1
1130,213,531,1
1131,148,644,1
1132,284,9,1
1133,442,507,1
1134,3,360,1
1135,473,298,1
1136,448,304,1
1137,101,76,1
1138,35,692,1
1139,103,849,1
1140,124,850,1
1141,10,365,1
1142,80,851,1
1143,510,852,1
1144,203,62,1
1145,538,486,1
1146,125,830,1
1147,181,853,1
1148,220,854,1
1149,50,22,1
1150,90,7,1
1151,533,796,1
1152,577,636,1
1153,764,295,1
1154,267,702,1
1155,855,761,1
1156,122,856,1
1157,97,857,1
1158,110,858,1
1159,774,859,1
1160,262,583,1
1161,124,296,1
1162,124,860,1
1163,294,789,1
1164,201,311,1
1165,203,546,1
1166,861,107,1
1167,862,863,1
1168,325,864,1
1169,51,697,1
1170,20,213,1
1171,469,865,1
1172,212,866,1
1173,38,867,1
1174,38,387,1
1175,101,868,1
1176,101,869,1
1177,427,870,1
1178,312,223,1
1179,136,871,1
1180,80,237,1
1181,523,740,1
1182,8,872,1
1183,175,873,1
1184,201,874,1
1185,538,432,1
1186,63,204,1
1187,63,46,1
1188,48,145,1
1189,310,699,1
1190,577,833,1
1191,153,211,1
1192,267,64,1
1193,779,875,1
1194,162,876,1
1195,162,773,1
1196,314,632,1
1197,877,633,1
1198,181,709,1
1199,635,878,1
1200,304,441,1
1201,352,879,1
1202,707,834,1
1203,27,219,1
1204,20,880,1
1205,881,60,1
1206,552,118,1
1207,53,432,1
1208,473,882,1
1209,127,883,1
1210,10,851,1
1211,516,884,1
1212,510,551,1
1213,1,885,1
1214,651,761,1
1215,383,886,1
1216,862,697,1
1217,73,653,1
1218,63,573,1
1219,552,546,1
1220,363,697,1
1221,145,102,1
1222,97,662,1
1223,110,887,1
1224,113,366,1
1225,495,459,1
1226,162,888,1
1227,124,816,1
1228,803,889,1
1229,538,890,1
1230,807,891,1
1231,771,96,1
1232,892,583,1
1233,552,893,1
1234,284,894,1
1235,212,895,1
1236,97,896,1
1237,897,218,1
1238,80,200,1
1239,77,834,1
1240,1,819,1
1241,898,890,1
1242,469,899,1
1243,469,900,1
1244,771,846,1
1245,48,901,1
1246,235,692,1
1247,95,508,1
1248,110,902,1
1249,110,903,1
1250,101,22,1
1251,503,7,1
1252,35,904,1
1253,312,96,1
1254,312,905,1
1255,246,906,1
1256,355,706,1
1257,907,908,1
1258,151,268,1
1259,314,640,1
1260,232,708,1
1261,450,557,1
1262,325,909,1
1263,172,6,1
1264,63,910,1
1265,148,618,1
1266,892,869,1
1267,284,911,1
1268,143,607,1
1269,124,653,1
1270,10,912,1
1271,80,913,1
1272,8,692,1
1273,201,499,1
1274,510,914,1
1275,807,765,1
1276,461,125,1
1277,915,916,1
1278,917,618,1
1279,71,684,1
1280,771,666,1
1281,892,918,1
1282,378,919,1
1283,56,787,1
1284,35,908,1
1285,463,920,1
1286,246,678,1
1287,30,921,1
1288,359,922,1
1289,898,863,1
1290,125,923,1
1291,198,632,1
1292,924,204,1
1293,148,400,1
1294,48,925,1
1295,31,926,1
1296,342,927,1
1297,95,819,1
1298,38,928,1
1299,80,114,1
1300,175,342,1
1301,457,929,1
1302,92,539,1
1303,75,930,1
1304,931,932,1
1305,771,933,1
1306,73,633,1
1307,63,153,1
1308,137,934,1
1309,449,204,1
1310,67,840,1
1311,568,146,1
1312,98,213,1
1313,503,660,1
1314,392,935,1
1315,124,866,1
1316,124,236,1
1317,273,713,1
1318,78,936,1
1319,213,268,1
1320,148,19,1
1321,730,487,1
1322,31,798,1
1323,342,593,1
1324,95,534,1
1325,239,153,1
1326,267,937,1
1327,38,938,1
1328,38,147,1
1329,110,939,1
1330,136,486,1
1331,8,940,1
1332,194,941,1
1333,203,874,1
1334,538,942,1
1335,943,353,1
1336,220,944,1
1337,20,49,1
1338,73,945,1
1339,533,946,1
1340,31,413,1
1341,878,525,1
1342,124,947,1
1343,201,948,1
1344,1,147,1
1345,296,949,1
1346,198,400,1
1347,73,2,1
1348,137,304,1
1349,235,872,1
1350,93,863,1
1351,56,629,1
1352,95,950,1
1353,267,489,1
1354,38,951,1
1355,319,952,1
1356,151,622,1
1357,294,581,1
1358,269,953,1
1359,181,638,1
1360,497,633,1
1361,707,655,1
1362,75,295,1
1363,50,334,1
1364,78,223,1
1365,284,874,1
1366,53,810,1
1367,235,845,1
1368,95,882,1
1369,46,954,1
1370,473,512,1
1371,24,68,1
1372,427,655,1
1373,254,955,1
1374,355,512,1
1375,29,956,1
1376,10,2,1
1377,60,703,1
1378,258,957,1
1379,510,958,1
1380,196,959,1
1381,168,960,1
1382,137,644,1
1383,449,961,1
1384,155,501,1
1385,31,48,1
1386,67,962,1
1387,659,287,1
1388,246,963,1
1389,246,527,1
1390,124,964,1
1391,151,965,1
1392,80,966,1
1393,194,967,1
1394,201,534,1
1395,181,968,1
1396,181,969,1
1397,51,970,1
1398,78,537,1
1399,168,971,1
1400,771,247,1
1401,73,605,1
1402,205,972,1
1403,93,761,1
1404,67,199,1
1405,346,692,1
1406,124,846,1
1407,80,973,1
1408,803,526,1
1409,1,417,1
1410,296,713,1
1411,132,819,1
1412,497,974,1
1413,51,975,1
1414,381,911,1
1415,771,589,1
1416,90,182,1
1417,577,976,1
1418,95,977,1
1419,98,911,1
1420,38,110,1
1421,24,752,1
1422,503,25,1
1423,124,978,1
1424,29,208,1
1425,294,316,1
1426,146,979,1
1427,8,168,1
1428,314,295,1
1429,181,980,1
1430,981,369,1
1431,75,49,1
1432,848,145,1
1433,73,347,1
1434,67,982,1
1435,779,267,1
1436,103,983,1
1437,124,93,1
1438,29,530,1
1439,80,115,1
1440,80,984,1
1441,80,261,1
1442,129,765,1
1443,296,846,1
1444,461,636,1
1445,210,465,1
1446,5,985,1
1447,147,119,1
1448,892,697,1
1449,623,58,1
1450,38,844,1
1451,269,590,1
1452,16,986,1
1453,194,987,1
1454,988,989,1
1455,591,990,1
1456,304,512,1
1457,227,105,1
1458,75,991,1
1459,278,630,1
1460,881,992,1
1461,552,750,1
1462,191,993,1
1463,67,994,1
1464,103,360,1
1465,262,995,1
1466,232,996,1
1467,88,526,1
1468,538,997,1
1469,591,73,1
1470,325,551,1
1471,50,882,1
1472,278,692,1
1473,198,595,1
1474,771,555,1
1475,73,998,1
1476,174,889,1
1477,337,999,1
1478,127,640,1
1479,312,653,1
1480,151,683,1
1481,151,1000,1
1482,80,177,1
1483,80,1001,1
1484,803,290,1
1485,175,1002,1
1486,232,746,1
1487,16,1003,1
1488,217,287,1
1489,591,1004,1
1490,943,1005,1
1491,711,1006,1
1492,51,298,1
1493,198,1007,1
1494,71,595,1
1495,137,432,1
1496,362,551,1
1497,110,643,1
1498,312,1008,1
1499,246,1009,1
1500,535,247,1
1501,801,702,1
1502,124,761,1
1503,294,1010,1
1504,314,703,1
1505,258,1011,1
1506,258,1012,1
1507,258,467,1
1508,201,1013,1
1509,132,591,1
1510,181,1014,1
1511,807,1015,1
1512,5,1016,1
1513,50,268,1
1514,78,1017,1
1515,337,459,1
1516,53,223,1
1517,155,1018,1
1518,38,1019,1
1519,829,435,1
1520,312,432,1
1521,103,1020,1
1522,495,130,1
1523,495,25,1
1524,262,66,1
1525,124,1021,1
1526,80,451,1
1527,80,623,1
1528,401,1022,1
1529,269,745,1
1530,538,992,1
1531,92,346,1
1532,184,697,1
1533,125,1023,1
1534,181,498,1
1535,815,1024,1
1536,817,85,1
1537,71,1025,1
1538,71,693,1
1539,73,621,1
1540,235,1026,1
1541,95,502,1
1542,98,484,1
1543,127,559,1
1544,312,296,1
1545,312,997,1
1546,134,233,1
1547,803,583,1
1548,269,1027,1
1549,516,1028,1
1550,461,1029,1
1551,917,655,1
1552,917,527,1
1553,73,1030,1
1554,1031,525,1
1555,730,1032,1
1556,31,1033,1
1557,67,1034,1
1558,362,334,1
1559,212,1035,1
1560,38,991,1
1561,254,105,1
1562,124,1036,1
1563,124,426,1
1564,10,1037,1
1565,573,1038,1
1566,18,1039,1
1567,1040,834,1
1568,1040,135,1
1569,383,766,1
1570,78,946,1
1571,381,781,1
1572,71,433,1
1573,73,679,1
1574,90,1041,1
1575,174,1042,1
1576,552,499,1
1577,442,316,1
1578,159,293,1
1579,267,252,1
1580,101,1043,1
1581,317,773,1
1582,124,1044,1
1583,151,296,1
1584,10,1045,1
1585,80,1046,1
1586,134,141,1
1587,134,1047,1
1588,203,642,1
1589,203,586,1
1590,497,587,1
1591,71,624,1
1592,771,268,1
1593,90,1048,1
1594,205,1049,1
1595,892,146,1
1596,267,692,1
1597,503,76,1
1598,1050,814,1
1599,1051,1052,1
1600,262,224,1
1601,232,791,1
1602,16,903,1
1603,196,1053,1
1604,296,637,1
1605,181,541,1
1606,352,1054,1
1607,51,1055,1
1608,51,978,1
1609,815,765,1
1610,73,481,1
1611,881,692,1
1612,90,1056,1
1613,145,349,1
1614,98,746,1
1615,319,1057,1
1616,254,846,1
1617,355,1058,1
1618,10,438,1
1619,80,1059,1
1620,201,204,1
1621,201,49,1
1622,119,1060,1
1623,181,1061,1
1624,210,480,1
1625,381,1062,1
1626,381,1063,1
1627,552,810,1
1628,442,751,1
1629,243,1064,1
1630,267,432,1
1631,779,972,1
1632,38,1065,1
1633,355,633,1
1634,124,629,1
1635,151,647,1
1636,80,831,1
1637,294,1066,1
1638,57,946,1
1639,57,1067,1
1640,1,1068,1
1641,497,636,1
1642,374,975,1
1643,51,464,1
1644,51,1069,1
1645,168,1070,1
1646,771,118,1
1647,337,369,1
1648,696,1071,1
1649,342,343,1
1650,362,1072,1
1651,38,1073,1
1652,84,163,1
1653,679,11,1
1654,294,541,1
